generation,trial,p,propertyType,property
12,48,0.55,b,0.0
12,48,0.55,a,1.0
12,48,0.55,s,1.0
12,48,0.55,c,1.0
12,48,0.55,e,1.0
11,48,0.55,b,0.0
11,48,0.55,a,1.0
11,48,0.55,s,1.0
11,48,0.55,c,1.0
11,48,0.55,e,1.0
10,48,0.55,b,0.0
10,48,0.55,a,1.0
10,48,0.55,s,1.0
10,48,0.55,c,1.0
10,48,0.55,e,1.0
9,48,0.55,b,0.0
9,48,0.55,a,1.0
9,48,0.55,s,0.966796875
9,48,0.55,c,1.0
9,48,0.55,e,1.0
8,48,0.55,b,0.0
8,48,0.55,a,0.966796875
8,48,0.55,s,0.8037109375
8,48,0.55,c,0.9873020918429494
8,48,0.55,e,0.9665164832459315
7,48,0.55,b,0.0
7,48,0.55,a,0.7900390625
7,48,0.55,s,0.7880859375
7,48,0.55,c,0.8706364584389303
7,48,0.55,e,0.7902356156289239
6,48,0.55,b,0.0
6,48,0.55,a,0.998046875
6,48,0.55,s,0.9970703125
6,48,0.55,c,0.9976956909337756
6,48,0.55,e,0.9980303813674077
5,48,0.55,b,0.0
5,48,0.55,a,0.9990234375
5,48,0.55,s,0.95703125
5,48,0.55,c,0.9976956909337756
5,48,0.55,e,0.9990151906837038
4,48,0.55,b,0.0
4,48,0.55,a,0.9580078125
4,48,0.55,s,0.923828125
4,48,0.55,c,0.969808100882348
4,48,0.55,e,0.9576531993992663
3,48,0.55,b,0.0
3,48,0.55,a,0.90625
3,48,0.55,s,0.7236328125
3,48,0.55,c,0.947314798194135
3,48,0.55,e,0.9074279242681635
2,48,0.55,b,0.0
2,48,0.55,a,0.6484375
2,48,0.55,s,0.3583984375
2,48,0.55,c,0.84213835511736
2,48,0.55,e,0.6828914001526454
1,48,0.55,b,0.4541015625
1,48,0.55,a,0.5458984375
1,48,0.55,s,1.0
1,48,0.55,c,-0.016949152542372926
1,48,0.55,e,-0.0025358839894625397
20,47,0.55,b,0.0
20,47,0.55,a,0.0625
20,47,0.55,s,0.955078125
20,47,0.55,c,1.0
20,47,0.55,e,0.9980303813674077
19,47,0.55,b,0.0009765625
19,47,0.55,a,0.060546875
19,47,0.55,s,0.8564453125
19,47,0.55,c,0.9457791248717026
19,47,0.55,e,0.9576531993992663
18,47,0.55,b,0.0078125
18,47,0.55,a,0.052734375
18,47,0.55,s,0.8935546875
18,47,0.55,c,0.9556907043230093
18,47,0.55,e,0.9025038776866829
17,47,0.55,b,0.0
17,47,0.55,a,0.0625
17,47,0.55,s,0.994140625
17,47,0.55,c,0.9953913818675515
17,47,0.55,e,0.9960607627348155
16,47,0.55,b,0.0
16,47,0.55,a,0.0625
16,47,0.55,s,0.998046875
16,47,0.55,c,0.9976956909337756
16,47,0.55,e,0.9980303813674077
15,47,0.55,b,0.0
15,47,0.55,a,0.0625
15,47,0.55,s,0.9892578125
15,47,0.55,c,1.0
15,47,0.55,e,1.0
14,47,0.55,b,0.0
14,47,0.55,a,0.0625
14,47,0.55,s,0.9892578125
14,47,0.55,c,0.9845753434417114
14,47,0.55,e,0.9891670975207425
13,47,0.55,b,0.0
13,47,0.55,a,0.0625
13,47,0.55,s,1.0
13,47,0.55,c,1.0
13,47,0.55,e,1.0
12,47,0.55,b,0.0
12,47,0.55,a,0.0625
12,47,0.55,s,1.0
12,47,0.55,c,1.0
12,47,0.55,e,1.0
11,47,0.55,b,0.0
11,47,0.55,a,0.0625
11,47,0.55,s,0.986328125
11,47,0.55,c,1.0
11,47,0.55,e,1.0
10,47,0.55,b,0.0
10,47,0.55,a,0.0625
10,47,0.55,s,0.986328125
10,47,0.55,c,0.982713041631792
10,47,0.55,e,0.9862126695718542
9,47,0.55,b,0.0
9,47,0.55,a,0.0625
9,47,0.55,s,1.0
9,47,0.55,c,1.0
9,47,0.55,e,1.0
8,47,0.55,b,0.0
8,47,0.55,a,0.0625
8,47,0.55,s,0.998046875
8,47,0.55,c,1.0
8,47,0.55,e,1.0
7,47,0.55,b,0.0
7,47,0.55,a,0.0625
7,47,0.55,s,0.998046875
7,47,0.55,c,0.9976956909337756
7,47,0.55,e,0.9980303813674077
6,47,0.55,b,0.0
6,47,0.55,a,0.0625
6,47,0.55,s,1.0
6,47,0.55,c,1.0
6,47,0.55,e,1.0
5,47,0.55,b,0.0
5,47,0.55,a,0.0625
5,47,0.55,s,0.990234375
5,47,0.55,c,1.0
5,47,0.55,e,1.0
4,47,0.55,b,0.0
4,47,0.55,a,0.0625
4,47,0.55,s,0.966796875
4,47,0.55,c,0.98874254442405
4,47,0.55,e,0.9901519068370387
3,47,0.55,b,0.0
3,47,0.55,a,0.0615234375
3,47,0.55,s,0.501953125
3,47,0.55,c,0.9592963573870523
3,47,0.55,e,0.9753797670925967
