generation,trial,p,propertyType,property
10,4,1.0,b,0.0
10,4,1.0,a,1.0
10,4,1.0,s,1.0
9,4,1.0,b,0.0
9,4,1.0,a,1.0
9,4,1.0,s,1.0
8,4,1.0,b,0.0
8,4,1.0,a,1.0
8,4,1.0,s,1.0
7,4,1.0,b,0.0
7,4,1.0,a,1.0
7,4,1.0,s,1.0
6,4,1.0,b,0.0
6,4,1.0,a,1.0
6,4,1.0,s,1.0
5,4,1.0,b,0.0
5,4,1.0,a,1.0
5,4,1.0,s,1.0
4,4,1.0,b,0.0
4,4,1.0,a,1.0
4,4,1.0,s,1.0
3,4,1.0,b,0.0
3,4,1.0,a,1.0
3,4,1.0,s,1.0
2,4,1.0,b,0.0
2,4,1.0,a,1.0
2,4,1.0,s,1.0
1,4,1.0,b,0.0
1,4,1.0,a,1.0
1,4,1.0,s,1.0
20,3,1.0,b,0.0078125
20,3,1.0,a,1.0
20,3,1.0,s,1.0
19,3,1.0,b,0.0078125
19,3,1.0,a,1.0
19,3,1.0,s,1.0
18,3,1.0,b,0.0078125
18,3,1.0,a,1.0
18,3,1.0,s,1.0
17,3,1.0,b,0.0078125
17,3,1.0,a,1.0
17,3,1.0,s,1.0
16,3,1.0,b,0.0078125
16,3,1.0,a,1.0
16,3,1.0,s,1.0
15,3,1.0,b,0.0078125
15,3,1.0,a,1.0
15,3,1.0,s,1.0
14,3,1.0,b,0.0078125
14,3,1.0,a,1.0
14,3,1.0,s,1.0
13,3,1.0,b,0.0078125
13,3,1.0,a,1.0
13,3,1.0,s,1.0
12,3,1.0,b,0.0078125
12,3,1.0,a,1.0
12,3,1.0,s,1.0
11,3,1.0,b,0.0078125
11,3,1.0,a,1.0
11,3,1.0,s,1.0
10,3,1.0,b,0.0078125
10,3,1.0,a,1.0
10,3,1.0,s,1.0
9,3,1.0,b,0.0078125
9,3,1.0,a,1.0
9,3,1.0,s,1.0
8,3,1.0,b,0.0078125
8,3,1.0,a,1.0
8,3,1.0,s,1.0
7,3,1.0,b,0.0078125
7,3,1.0,a,1.0
7,3,1.0,s,1.0
6,3,1.0,b,0.0078125
6,3,1.0,a,1.0
6,3,1.0,s,1.0
5,3,1.0,b,0.0078125
5,3,1.0,a,1.0
5,3,1.0,s,1.0
4,3,1.0,b,0.0078125
4,3,1.0,a,1.0
4,3,1.0,s,1.0
3,3,1.0,b,0.0078125
3,3,1.0,a,1.0
3,3,1.0,s,1.0
2,3,1.0,b,0.0078125
2,3,1.0,a,1.0
2,3,1.0,s,1.0
1,3,1.0,b,0.0078125
1,3,1.0,a,1.0
1,3,1.0,s,1.0
20,2,1.0,b,0.0
20,2,1.0,a,1.0
20,2,1.0,s,1.0
19,2,1.0,b,0.0
19,2,1.0,a,1.0
19,2,1.0,s,1.0
18,2,1.0,b,0.0
18,2,1.0,a,1.0
18,2,1.0,s,1.0
17,2,1.0,b,0.0
17,2,1.0,a,1.0
17,2,1.0,s,1.0
16,2,1.0,b,0.0
16,2,1.0,a,1.0
16,2,1.0,s,1.0
15,2,1.0,b,0.0
15,2,1.0,a,1.0
15,2,1.0,s,1.0
14,2,1.0,b,0.0
14,2,1.0,a,1.0
14,2,1.0,s,1.0
13,2,1.0,b,0.0
13,2,1.0,a,1.0
